Video Name,Action_x,Video Category,Experience Level,Age Group,Video Upload Date,Gender,Likes,Views,Video Length,Region,Link,CONTAINS PERSON,Gen AI Used,#1 tool,#2 tool,#3 tool,#1 tool time,#2 tool time,#3 tool time
Cyberpunk Cityscape ｜ Photoshop Timelapse ｜ Sci-fi Concept Art,Brush -> Move -> Brush -> Move -> Brush -> Eraser -> Brush -> Move -> Brush -> Move -> Brush -> Marquee -> Custom Shape -> Brush -> Move -> Gradient -> Custom Shape -> Brush -> Gradient -> Move -> Brush -> Custom Shape -> Move -> Custom Shape -> Move -> Brush -> Count -> Move -> Gradient -> Brush -> Move -> Brush -> Move -> Custom Shape -> Move -> Eraser -> Move -> Brush -> Custom Shape -> Eraser -> Pen -> Move -> Custom Shape -> Pen -> Move -> Eraser -> Brush -> Move -> Gradient -> Lasso -> Brush -> Marquee -> Count -> Move -> Line -> Count -> Brush -> Gradient -> Move -> Brush -> Pen -> Gradient -> Eraser -> Lasso -> Brush -> Gradient -> Brush -> Pen -> Move -> Brush -> Line -> Brush -> Hand -> Eraser -> Brush -> Gradient -> Line -> Brush -> Dodge -> Move -> Pen -> Dodge -> Pen -> Brush -> Move -> Dodge -> Brush -> Dodge -> Brush -> Dodge -> Brush -> Move -> Blur -> Brush -> Eraser -> Dodge -> Pen -> Dodge -> Count -> Dodge -> Gradient -> Move -> Dodge -> Brush -> Dodge -> Brush -> Pen -> Brush -> Dodge -> Brush -> Move -> Brush -> Dodge -> Pen -> Hand -> Move -> Brush -> Custom Shape -> Move -> Brush -> Gradient -> Move -> Dodge -> Brush -> Eraser -> Gradient -> Brush -> Gradient -> Pen -> Brush -> Move -> Gradient -> Brush -> Gradient -> Brush -> Pen -> Dodge -> Hand -> Pen -> Gradient -> Note -> Brush -> Line -> Brush -> Move -> Marquee -> Move -> Dodge -> Move -> Gradient -> Brush -> Gradient -> Dodge -> Brush -> Pen -> Brush -> Gradient -> Brush -> Move -> Eraser -> Move -> Pen -> Brush -> Move -> Brush -> Dodge -> Brush -> Pen -> Brush -> Gradient -> Brush -> Gradient -> Brush -> Gradient -> Brush -> Pen -> Move -> Brush -> Move -> Brush -> Pen -> Brush -> Pen -> Burn -> Move -> Brush -> Move -> Brush -> Pen -> Move -> Brush -> Gradient -> Brush -> Gradient -> Brush -> Dodge -> Brush -> Move -> Eraser -> Brush -> Move -> Brush -> Gradient -> Pen -> Brush -> Note -> Gradient -> Brush -> Pen -> Move -> Brush -> Gradient -> Brush -> Eraser -> Brush -> Dodge -> Brush -> Move -> Brush -> Move -> Brush -> Move -> Brush -> Gradient -> Move -> Pen -> Move -> Brush -> Count -> Eraser -> Brush -> Move -> Pen -> Brush -> Burn -> Move -> Brush -> Dodge -> Brush -> Eraser -> Burn -> Dodge -> Brush -> Dodge -> Note -> Brush -> Gradient -> Dodge -> Brush -> Note -> Brush -> Note -> Move -> Blur -> Move -> Brush -> Dodge -> Move -> Brush -> Move -> Dodge -> Brush -> Gradient -> Blur -> Pen -> Move -> Gradient -> Brush -> Move -> Eraser -> Smudge -> Blur -> Smudge -> Dodge -> Gradient -> Brush -> Dodge -> Blur -> Pen -> Gradient -> Brush -> Dodge -> Move -> Dodge -> Gradient -> Brush -> Blur -> Brush -> Note -> Brush -> Blur -> Brush -> Smudge -> Pen -> Smudge -> Note,Special Effects,Beginner,Young,,Male,,,,UK,,,,Brush,Move,Gradient,433,197,151
Digital Painting in Photoshop Course Sneak Peek - Guiding the Eye using Light & Shadow,Pen -> Move -> Pen -> Brush -> Count -> Brush -> Pen -> Note -> Pen -> Line -> Brush -> Note -> Brush -> Pen -> Line -> Brush -> Line -> Pen -> Line -> Brush -> Eraser -> Brush -> Pen -> Brush -> Zoom -> Pen -> Zoom -> Brush -> Pen -> Brush -> Pen -> Brush -> Pen -> Note -> Pen -> Line -> Brush -> Pen -> Brush -> Pen -> Brush -> Pen -> Eraser -> Pen -> Brush -> Note -> Pen -> Brush -> Pen -> Move -> Brush -> Pen -> Slice -> Pen -> Note -> Pen -> Line -> Pen -> Brush -> Pen -> Line -> Pen,Digital Painting,Intermediate,Middle -aged,12/5/2017,Male,898.0,33176.0,29.0,US,,,,Pen,Brush,Line,600,520,124
Dispersion Effect ~ Photoshop Tutorial,Line -> Pen -> Brush -> Pen -> Line -> Crop -> Move -> Crop -> Gradient -> Move -> Gradient -> Move -> Gradient -> Move -> Crop -> Move -> Crop -> Gradient -> Move -> Crop -> Brush -> Crop -> Brush -> Crop -> Brush -> Crop -> Brush -> Crop -> Brush -> Crop -> Brush -> Pen -> Crop -> Brush -> Line -> Pen -> Line -> Pen -> Line -> Pen -> Line -> Gradient -> Line -> Gradient -> Line,Special Effects,Beginner,Young,12/9/2017,Male,19000.0,1233621.0,7.0,Bangladesh,,,,Line,Crop,Brush,175,62,45
Drawing a Likeness,Pen -> Line -> Pen -> Brush -> Pen -> Brush -> Pen -> Brush -> Pen -> Line -> Pen -> Brush -> Pen -> Brush -> Pen -> Brush,Digital Painting,Beginner,Middle -aged,6/4/2015,Male,7600.0,230907.0,33.0,US,,,,Pen,Brush,Line,744,340,12
EASY Photo Effect that ANYONE can do ｜ Photoshop Editing Tutorial for Beginners,Pen -> Quick Selection -> Magic Wand -> Rectangle -> Object Selection -> Move -> Marquee -> Pen -> Hand -> Dodge -> Hand -> Gradient -> Hand -> Blur -> Hand -> Brush -> Hand -> Blur -> Hand,Retouching,Beginner,Young,,Female,,,,UK,,,,Hand,Marquee,Pen,206,40,27
Glow Effect - Best Photoshop Tutorial ｜ Glowing Effect,Gradient -> Crop -> Gradient -> Quick Selection -> Gradient -> Pen -> Gradient -> Move -> Gradient -> Dodge -> Gradient -> Blur -> Gradient -> Blur -> Gradient -> Blur -> Gradient -> Blur -> Gradient -> Brush -> Gradient -> Blur -> Gradient -> Blur -> Gradient -> Blur -> Gradient -> Blur -> Gradient,Retouching,Beginner,Young,,Male,,,,UK,,,,Gradient,Pen,Blur,472,37,12
How To Create Realistic Product Mockups in Photoshop (Full Tutorial),Ellipse -> Polygon -> Rectangle -> Move -> Count -> Rectangle -> Line -> Rectangle -> Lasso -> Rectangle -> Object Selection -> Rectangle -> Dodge -> Rectangle -> Dodge -> Burn -> Rectangle -> Move -> Rectangle -> Dodge -> Line -> Pen -> Rectangle -> Dodge -> Rectangle -> Move -> Rectangle -> Move -> Rectangle -> Pen -> Rectangle -> Pen -> Rectangle -> Dodge -> Rectangle -> Pen,3D Mockups,Expert,Young,8/26/2022,Male,8200.0,386880.0,16.0,UK,https://www.youtube.com/watch?v=cii8UIPAjmE&list=PLIke35aX3K3n5qW69OR5VrPFCOoj4pGyd&index=5,,,Rectangle,Dodge,Line,521,109,72
How To Download and Use The Famous 3D WALL LOGO MOCKUP in Photoshop,Pen -> Move -> Count -> Move -> Line -> Pen -> Hand -> Pen -> Zoom -> Pen -> Line -> Zoom -> Pen -> Zoom -> Pen -> Zoom,3D Mockups,Intermediate,Young,2/17/2023,Male,0.0,53173.0,9.0,US,,,,Pen,Zoom,Move,123,76,36
How to Change Eye Color-Advanced Photoshop Tutorial,Zoom,Retouching,Intermediate,Young,7/1/2018,Male,3.0,119.0,3.0,US,https://www.youtube.com/watch?v=CCuc-WLwgzI&list=PLIke35aX3K3nqejLcs6ZoajItv3BkrKsz&index=4,,,Zoom,#NUM!,#NUM!,7,#NUM!,#NUM!
How to Change Eye Color-Advanced Photoshop Tutorial 2,Zoom,Retouching,Expert,Young,,Female,,,,UK,,,,Zoom,#NUM!,#NUM!,7,#NUM!,#NUM!
How to Change Eye Color-Advanced Photoshop Tutorial 3,Zoom,Retouching,Expert,Young,,Female,,,,UK,,,,Zoom,#NUM!,#NUM!,7,#NUM!,#NUM!
How to Create 3D Packaging Design Mockup in Photoshop ｜ Tutorial,Pen -> Brush -> Custom Shape -> Blur -> Pen -> Move -> Line -> Move -> Pen -> Move -> Pen -> Line -> Move -> Pen -> Move -> Marquee -> Move -> Marquee -> Move,Retouching,Beginner,Young,,Male,,,,UK,,,,Pen,Move,Line,73,61,18
How to Create Mockups with Complex 3D Shapes! - Photoshop Tutorial,Move -> Blur -> Rectangle -> Pen -> Rectangle -> Eyedropper -> Note -> Ruler -> Line -> Rectangle -> Brush -> Move -> Brush -> Hand -> Burn -> Dodge -> Gradient -> Rectangle -> Gradient -> Rectangle -> Pen -> Rectangle -> Pen -> Rectangle -> Gradient -> Rectangle -> Note -> Rectangle -> Brush -> Note -> Pen -> Gradient -> Dodge -> Brush -> Rectangle -> Gradient -> Rectangle -> Gradient -> Rectangle -> Pen -> Rectangle -> Note -> Pen -> Crop,3D Mockups,Intermediate,Young,4/21/2022,Male,30000.0,651148.0,19.0,India,,,,Rectangle,Brush,Move,298,179,95
How to Create a Magazine Cover in Photoshop,Pen -> Slice -> Move -> Zoom -> Pen -> Zoom -> Pen -> Zoom -> Pen -> Line -> Pen -> Zoom -> Note -> Zoom -> Line -> Pen -> Zoom -> Pen -> Zoom -> Vertical Type -> Pen -> Line -> Pen -> Note -> Zoom -> Vertical Type -> Pen -> Move -> Line -> Pen -> Crop -> Pen -> Line -> Brush -> Pen -> Move -> Pen -> Line -> Pen -> Custom Shape -> Pen -> Zoom -> Custom Shape -> Pen -> Rectangle -> Zoom -> Pen -> Zoom,Graphic Designing,Beginner,Young,4/4/2017,Male,2800.0,314389.0,22.0,UK,https://www.youtube.com/watch?v=DB9L2NI-dO0&list=PLIke35aX3K3nEAwuuGYumzQB0aLH5OQM-&index=5,,,Pen,Line,Zoom,616,122,91
How to Create a Sparkle Effect Photoshop Action,Pen -> Note -> Count -> Note -> Count -> Brush -> Count -> Brush -> Count -> Brush -> Pen -> Brush -> Count -> Brush -> Count -> Brush -> Count -> Brush -> Note -> Count -> Brush -> Pen -> Hand -> Brush -> Pen -> Slice -> Brush -> Dodge -> Pen -> Hand -> Dodge -> Brush -> Gradient -> Pen -> Line -> Blur -> Slice -> Gradient -> Brush -> Slice -> Brush -> Pen -> Slice -> Brush -> Slice -> Brush -> Crop -> Brush -> Blur -> Brush -> Dodge -> Brush -> Sharpen -> Move -> Sharpen,Retouching,Beginner,Young,,Female,,,,UK,,,,Brush,Pen,Sharpen,267,78,32
How to Design And Mockup 3D Logo In Photoshop ｜ Free logo mockups download,Pen -> Move -> Line -> Move -> Pen,3D Mockups,Beginner,Young,,Female,,,,UK,,,,Move,Pen,Line,167,101,6
How to Design a Poster in Photoshop,Pen -> Line -> Paint Bucket -> Move -> Quick Selection -> Pen -> Brush -> Hand -> Zoom -> Patch -> Pen -> Blur -> Gradient -> Blur -> Gradient -> Blur -> Gradient -> Blur -> Gradient -> Blur -> Gradient -> Blur -> Dodge -> Burn -> Blur -> Move -> Rectangle -> Blur -> Ellipse -> Blur -> Ellipse -> Blur -> Ellipse -> Gradient -> Ellipse -> Blur -> Dodge -> Blur -> Count -> Blur -> Ellipse -> Blur -> Gradient -> Blur -> Dodge -> Blur -> Move -> Blur -> Marquee -> Brush -> Line -> Blur -> Brush -> Blur -> Dodge -> Blur -> Brush -> Blur -> Brush -> Blur -> Line -> Blur -> Gradient -> Blur -> Move -> Blur -> Brush -> Patch -> Brush -> Move -> Blur -> Brush -> Blur -> Ruler -> Blur,Graphic Designing,Beginner,Young,2/3/2023,Male,2600.0,95993.0,15.0,UK,https://www.youtube.com/watch?v=1UsFzsVqLWc&list=PLIke35aX3K3nEAwuuGYumzQB0aLH5OQM-&index=4,,,Blur,Brush,Pen,389,62,46
How to Design and Color Creative Faces Step-by-Step,Brush -> Line -> Brush -> Pen -> Brush -> Zoom -> Brush -> Pen -> Line -> Brush -> Line -> Slice -> Pen -> Brush -> Pen -> Line -> Red Eye -> Brush -> Line -> Brush -> Zoom -> Dodge -> Pen -> Brush -> Pen -> Brush -> Pen -> Brush -> Zoom -> Pen -> Brush -> Zoom -> Pen -> Zoom -> Dodge -> Zoom -> Dodge -> Brush -> Pen -> Dodge -> Zoom -> Move -> Zoom -> Line -> Brush -> Blur -> Zoom -> Gradient -> Zoom -> Move -> Zoom,Digital Painting,Intermediate,Young,9/26/2024,Male,2400.0,31390.0,21.0,Thailand,,,,Brush,Zoom,Pen,460,148,141
How to Make Business Cards in Adobe Photoshop,Pen -> Hand -> Pen -> Hand -> Line -> Pen -> Hand -> Crop -> Pen -> Line -> Pen -> Line -> Pen -> Rectangle -> Pen -> Line -> Slice -> Ruler -> Slice -> Ruler -> Slice -> Zoom -> Line -> Pen -> Rectangle -> Pen -> Rectangle -> Hand -> Pen -> Slice -> Pen -> Note -> Pen -> Zoom -> Pen -> Zoom -> Pen -> Rectangle -> Gradient -> Rectangle -> Gradient -> Pen -> Rectangle -> Crop -> Rectangle -> Pen -> Rectangle -> Gradient -> Rectangle -> Gradient -> Rectangle -> Pen -> Note -> Rectangle -> Pen -> Rectangle -> Pen -> Gradient -> Pen -> Rectangle -> Note -> Rectangle -> Pen -> Line -> Pen -> Rectangle -> Pen -> Rectangle -> Pen -> Rectangle -> Pen -> Rectangle -> Pen -> Slice -> Pen -> Slice -> Ruler -> Slice -> Ellipse -> Rectangle -> Brush -> Rectangle -> Pen -> Rectangle -> Pen -> Rectangle -> Pen -> Dodge -> Gradient -> Pen -> Ellipse -> Pen -> Ellipse -> Dodge -> Ellipse -> Pen -> Line -> Pen -> Rectangle -> Pen -> Rectangle -> Pen -> Rectangle -> Note -> Rectangle -> Pen -> Note -> Pen -> Gradient -> Pen -> Rectangle -> Pen -> Slice -> Rectangle -> Hand -> Pen -> Zoom -> Pen -> Zoom -> Pen -> Hand -> Note -> Pen -> Rectangle -> Eraser -> Pen -> Rectangle -> Pen -> Rectangle -> Pen -> Rectangle -> Pen -> Rectangle -> Hand -> Note -> Hand -> Pen -> Hand -> Pen -> Hand -> Rectangle -> Gradient -> Rectangle -> Gradient -> Pen -> Hand -> Pen -> Hand -> Pen -> Hand -> Zoom -> Hand -> Pen -> Zoom -> Hand -> Rectangle -> Pen -> Rectangle -> Pen -> Line -> Pen,Graphic Designing,Intermediate,Young,12/02//2019,Male,2400.0,16.0,48.0,US,https://www.youtube.com/watch?v=eqFcuLTFa10&list=PLIke35aX3K3mWRpD98Xs5qvOGbDGXCJmW&index=5,,,Pen,Rectangle,Hand,1252,675,227
How to Make Winning Magazine Article Design？,Pen -> Line -> Pen -> Hand -> Pen -> Hand -> Line -> Note -> Line -> Note -> Line -> Note -> Pen -> Line -> Pen -> Line -> Hand -> Note -> Line -> Note -> Line -> Hand -> Line -> Pen -> Line -> Pen -> Note -> Hand -> Note -> Hand -> Note -> Hand -> Note -> Hand -> Note -> Pen -> Burn -> Count -> Burn -> Note -> Count -> Pen -> Move -> Pen -> Note -> Patch -> Line -> Pen -> Line -> Pen -> Brush -> Pen -> Note -> Hand -> Note -> Crop -> Note -> Pen -> Note -> Hand -> Pen -> Note -> Pen -> Hand -> Note -> Hand -> Pen -> Hand -> Pen -> Hand -> Line -> Hand -> Note -> Crop -> Note -> Crop -> Note -> Crop -> Note -> Crop -> Note -> Crop -> Pen -> Crop -> Note -> Crop -> Note -> Crop -> Note -> Crop -> Note -> Crop -> Note -> Crop -> Note -> Crop -> Note -> Crop -> Note -> Crop -> Note -> Crop -> Note -> Crop -> Note -> Crop -> Note -> Crop -> Note -> Crop -> Note -> Crop -> Note -> Crop -> Note -> Crop -> Note -> Crop -> Note -> Crop -> Note -> Crop -> Note -> Crop -> Note -> Crop -> Pen -> Crop -> Note -> Crop -> Note -> Crop -> Note -> Crop -> Note -> Crop -> Note -> Crop -> Note -> Crop -> Note -> Hand -> Note -> Hand -> Note -> Line -> Note -> Sponge -> Note -> Pen -> Note -> Pen -> Crop -> Line -> Pen -> Crop -> Line -> Crop -> Line -> Crop -> Line -> Crop -> Note -> Pen -> Line -> Crop -> Pen -> Line -> Note -> Line -> Note -> Line -> Note -> Pen -> Line -> Crop -> Note -> Pen -> Note -> Pen -> Note -> Slice -> Note -> Slice -> Note -> Slice -> Note -> Pen -> Note -> Pen -> Note -> Pen -> Note -> Pen -> Note -> Slice -> Line -> Note -> Pen -> Note -> Move -> Pen -> Blur -> Move -> Pen -> Blur -> Hand -> Pen -> Note -> Line -> Note -> Line -> Note -> Line -> Note -> Line -> Note -> Pen -> Note -> Pen -> Dodge -> Pen -> Note -> Pen -> Note -> Line -> Pen -> Hand -> Count -> Pen -> Note -> Move -> Burn -> Move -> Line -> Note -> Hand -> Note -> Pencil -> Note -> Move -> Note -> Move -> Pen -> Move -> Note -> Move -> Note -> Move -> Note -> Move -> Note -> Pen -> Note -> Line -> Note -> Pen -> Note -> Pen -> Note -> Pen -> Move -> Note -> Hand -> Line -> Note -> Pen -> Note -> Pen -> Line -> Count -> Line -> Pen -> Count -> Pen -> Line -> Count -> Pen -> Note -> Pen -> Line -> Pen -> Line -> Pen -> Note -> Line -> Note -> Pen -> Note -> Line -> Note -> Line -> Pen -> Note -> Crop -> Note -> Crop -> Line -> Crop -> Note -> Crop -> Note -> Crop -> Note -> Crop -> Note -> Crop -> Line -> Note -> Crop -> Note -> Crop -> Note -> Crop -> Note -> Crop -> Line -> Crop -> Note -> Crop -> Note -> Crop -> Line -> Note -> Crop -> Note -> Crop -> Pen -> Crop -> Note -> Line -> Note -> Pen -> Note -> Pen -> Note -> Line -> Hand -> Move -> Pen -> Move -> Line -> Note -> Pen -> Note -> Crop -> Note -> Crop -> Note -> Crop -> Note -> Crop -> Pen -> Crop -> Pen -> Crop -> Note -> Crop -> Note -> Line -> Note -> Line -> Note -> Line -> Note -> Pen -> Line -> Note -> Line -> Pen -> Note -> Line -> Pen -> Line -> Pen -> Note -> Line -> Note -> Line -> Pen -> Note -> Line -> Note -> Line -> Pen -> Note -> Line -> Pen -> Line -> Pen -> Line -> Note -> Crop -> Note -> Crop -> Note -> Crop -> Note -> Crop -> Note -> Crop -> Note -> Crop -> Pen -> Crop -> Note -> Pen -> Note -> Pen -> Note -> Pen -> Note -> Pen -> Note -> Pen -> Note -> Pen -> Note -> Pen -> Note -> Pen -> Note -> Pen -> Note -> Pen -> Note -> Pen -> Note -> Pen -> Note -> Pen -> Note -> Pen -> Note -> Pen -> Note -> Pen -> Note -> Pen -> Note -> Pen -> Note -> Pen -> Note -> Pen -> Note -> Pen -> Note -> Pen -> Note -> Pen -> Note -> Pen -> Note -> Pen -> Note -> Pen -> Note -> Pen -> Note -> Pen -> Note -> Pen -> Note -> Pen -> Note -> Line -> Note -> Line -> Note -> Blur -> Pen -> Note -> Pen -> Note -> Line -> Note -> Line -> Blur -> Line -> Crop -> Count -> Crop -> Note -> Crop -> Note -> Crop -> Note -> Crop -> Line -> Note -> Count -> Pen -> Note -> Pen -> Move -> Pen -> Note -> Pen -> Note -> Count -> Note -> Move -> Note -> Line -> Note -> Crop -> Note -> Pen -> Note -> Pen -> Note -> Pen -> Note -> Crop -> Count -> Crop -> Note -> Count -> Note -> Count -> Pen -> Count -> Pen -> Count -> Pen -> Note -> Count -> Pen -> Count -> Pen -> Count -> Pen -> Count -> Pen -> Count -> Pen -> Count -> Pen -> Count -> Pen -> Count -> Pen -> Count -> Line -> Note -> Pen -> Note -> Pen -> Note -> Crop -> Note -> Crop -> Note -> Pen -> Note -> Move -> Note -> Pen -> Move -> Note -> Pen -> Move -> Pen -> Move -> Pen -> Move -> Note -> Move -> Pen -> Move -> Pen -> Move -> Note -> Move -> Pen -> Move -> Note -> Move -> Note -> Pen -> Move -> Note -> Pen -> Note -> Move -> Note -> Pen -> Note -> Pen -> Note -> Pen -> Note -> Pen -> Move -> Note -> Move -> Note -> Move -> Note -> Pen -> Move -> Note -> Move -> Note -> Move -> Note -> Line -> Note -> Pen -> Count -> Hand -> Note -> Pen -> Slice -> Note -> Pen -> Note -> Line -> Note -> Line -> Pen -> Note -> Brush -> Note -> Brush -> Note -> Blur -> Note -> Brush -> Note -> Brush -> Note -> Brush -> Note -> Brush -> Note -> Brush -> Note -> Brush -> Note -> Line -> Note -> Pen -> Move -> Note -> Move -> Note -> Move -> Pen -> Note -> Pen -> Note -> Pen -> Note -> Pen -> Note -> Move -> Pen -> Note -> Pen -> Note -> Pen -> Line -> Note -> Crop -> Note -> Crop -> Note -> Crop -> Note -> Line -> Note -> Line -> Note -> Line -> Pen -> Note -> Line -> Note -> Line -> Note -> Crop -> Note -> Crop -> Note -> Crop -> Note -> Crop -> Note -> Crop -> Note -> Crop -> Note -> Crop -> Move -> Crop -> Note -> Pen -> Crop -> Note -> Crop -> Note -> Crop -> Note -> Crop -> Note -> Pen -> Crop -> Note -> Move -> Note -> Sharpen -> Move -> Note -> Crop -> Count -> Crop -> Count -> Crop -> Count -> Crop -> Count -> Crop -> Count -> Crop -> Count -> Crop -> Count -> Crop -> Count -> Crop -> Count -> Crop -> Count -> Crop -> Count -> Crop -> Count -> Crop -> Count -> Crop -> Move -> Count -> Move -> Count -> Move -> Count -> Move -> Count -> Move -> Count -> Move -> Count -> Move -> Count -> Move -> Count -> Move -> Count -> Move -> Count -> Move -> Count -> Move -> Count -> Move -> Crop -> Count -> Note -> Pen -> Note -> Line -> Crop -> Pen -> Crop -> Pen -> Crop -> Line -> Crop -> Line -> Crop -> Pen -> Line -> Crop -> Note -> Line -> Note -> Move -> Pen -> Move -> Pen -> Line -> Pen -> Move -> Note -> Hand -> Pen -> Note -> Line -> Eraser -> Move -> Note -> Crop -> Note -> Hand -> Ruler -> Hand -> Note -> Pen -> Note -> Pen -> Note -> Pen -> Note -> Pen -> Line -> Note -> Pen -> Hand -> Note -> Pen -> Note -> Pen -> Move -> Pen -> Line -> Pen -> Note -> Pen -> Note -> Pen -> Note -> Pen -> Note -> Crop -> Note -> Pen -> Note -> Sharpen -> Note -> Pen -> Note -> Pen -> Note -> Line -> Note -> Crop -> Note -> Crop -> Pen -> Crop -> Note -> Pen -> Crop -> Note -> Crop -> Note -> Crop -> Note -> Crop -> Note -> Crop -> Note -> Crop -> Note -> Crop -> Note -> Crop -> Move -> Note -> Move -> Crop -> Note -> Line -> Note -> Pen -> Move -> Blur -> Note -> Move -> Blur -> Note -> Blur -> Move -> Crop -> Blur -> Move -> Note -> Move -> Crop -> Move -> Blur -> Move -> Note -> Crop -> Move -> Crop -> Move -> Crop -> Move -> Blur -> Move -> Crop -> Move -> Crop -> Blur -> Crop -> Move -> Crop -> Move -> Crop -> Blur -> Move -> Crop -> Move -> Blur -> Move -> Crop -> Move -> Crop -> Move -> Crop -> Move -> Crop -> Blur -> Crop -> Move -> Crop -> Move -> Crop -> Move -> Note -> Move -> Crop -> Note -> Pen -> Note -> Move -> Note -> Sponge -> Note -> Pen -> Sponge -> Note -> Line -> Note -> Line -> Note -> Sponge -> Note -> Line -> Note -> Pen -> Note -> Sponge -> Note -> Sponge -> Note -> Sponge -> Crop -> Sponge -> Note -> Sponge -> Note -> Sponge -> Note -> Sponge -> Note -> Sponge -> Note -> Sponge -> Note -> Sponge -> Note -> Sponge -> Note -> Sponge -> Note -> Sponge -> Note -> Sponge -> Note -> Sponge -> Note -> Sponge -> Note -> Sponge -> Note -> Sponge -> Note -> Sponge -> Note -> Sponge -> Note -> Sponge -> Note -> Sponge -> Note -> Sponge -> Note -> Sponge -> Note -> Sponge -> Note -> Sponge -> Note -> Sponge -> Note -> Sponge -> Note -> Sponge -> Note -> Sponge -> Note -> Sponge -> Note -> Sponge -> Note -> Sponge -> Note -> Sponge -> Note -> Sponge -> Note -> Sponge -> Note -> Pen -> Note -> Pen -> Note -> Pen -> Note -> Pen -> Note -> Pen -> Note -> Pen -> Move -> Note -> Move -> Pen -> Note -> Pen -> Note -> Pen -> Ruler -> Note -> Pen -> Note -> Move -> Note -> Count -> Note -> Move -> Pen -> Note -> Pen -> Note -> Line -> Note -> Pen -> Note -> Pen -> Note -> Line -> Hand -> Pen -> Hand -> Line -> Pen -> Line,Graphic Designing,Beginner,Young,,Female,,,,UK,,,,Note,Pen,Line,2826,979,707
How to Make a 3D Logo Mockup With Black Wall using Photoshop,Gradient -> Rectangle -> Gradient -> Burn -> Note -> Pen -> Line -> Pen -> Note -> Pen -> Note -> Blur -> Sharpen -> Blur -> Dodge -> Pen -> Gradient -> Pen -> Gradient -> Pen -> Gradient -> Line -> Gradient -> Hand -> Line -> Gradient -> Burn -> Dodge -> Pen -> Gradient -> Pen -> Gradient -> Dodge -> Pen -> Gradient -> Pen -> Line -> Pen -> Line -> Pen -> Dodge -> Pen -> Gradient -> Pen -> Crop,3D Mockups,Expert,Young,6/20/2022,Male,5.0,526.0,12.0,US,https://www.youtube.com/watch?v=godWipiiMkk&list=PLIke35aX3K3n5qW69OR5VrPFCOoj4pGyd&index=7,,,Pen,Gradient,Line,274,153,38
How to Stylize a Magazine Cover in Photoshop,Gradient -> Move -> Gradient -> Line -> Gradient -> Pen -> Gradient -> Line -> Gradient -> Line -> Gradient -> Line -> Gradient -> Line -> Gradient -> Line -> Gradient -> Line -> Gradient -> Note -> Gradient -> Note -> Gradient -> Line -> Gradient,Graphic Designing,Intermediate,Young,16/10/2015,Male,3500.0,199737.0,18.0,US,https://www.youtube.com/watch?v=BAP-eDXFIqU&list=PLIke35aX3K3mWRpD98Xs5qvOGbDGXCJmW&index=2,,,Gradient,Line,Note,1003,10,5
How to create SPECIAL EFFECTS in Photoshop ｜ VFX,Move -> Pen -> Move -> Pen -> Line -> Move -> Pen -> Brush -> Pen -> Brush -> Pen -> Brush -> Gradient -> Pen -> Brush -> Gradient -> Brush -> Pen -> Brush -> Pen -> Brush -> Line -> Brush -> Gradient -> Brush -> Note -> Brush -> Crop -> Brush -> Gradient -> Hand -> Pen -> Gradient -> Note -> Hand -> Brush -> Pen -> Gradient -> Pen -> Gradient -> Pen -> Brush -> Note -> Gradient -> Brush -> Note -> Brush -> Gradient -> Note -> Gradient -> Pen -> Count -> Line -> Zoom -> Pen -> Blur -> Pen -> Blur -> Dodge -> Blur -> Line -> Pen -> Sharpen -> Brush -> Slice -> Pen -> Note -> Brush -> Note -> Blur -> Pen -> Blur -> Brush -> Gradient -> Brush -> Move -> Note -> Brush -> Pen -> Brush -> Pen -> Blur -> Line -> Note -> Pen -> Gradient -> Blur -> Count -> Blur -> Move -> Pen -> Line -> Move -> Brush -> Move -> Gradient -> Pen -> Gradient -> Crop -> Gradient -> Brush -> Note -> Line -> Pen -> Brush -> Dodge -> Burn -> Brush -> Dodge -> Note -> Dodge -> Note -> Dodge -> Note -> Dodge -> Line -> Dodge -> Pen -> Dodge,Special Effects,Beginner,Young,,Female,,,,UK,,,,Brush,Pen,Gradient,335,300,282
How to create this amazing GLOW Effect in Photoshop,Lasso -> Pen -> Brush -> Line -> Lasso -> Gradient -> Dodge -> Line -> Blur -> Dodge -> Blur -> Gradient -> Brush -> Dodge -> Gradient -> Blur,Special Effects,Beginner,Young,11/5/2024,Male,111.0,2179.0,8.0,India,,,,Gradient,Blur,Brush,86,68,45
How to design a stunning social media post in Photoshop,Pen -> Rectangle -> Gradient -> Rectangle -> Pen -> Rectangle -> Pen -> Rectangle -> Pen -> Rectangle -> Blur -> Pen -> Blur -> Pen -> Line -> Blur -> Rectangle -> Pen -> Rectangle -> Move -> Rectangle -> Note -> Rectangle -> Pen -> Rectangle -> Pen -> Rectangle -> Gradient -> Rectangle -> Patch -> Rectangle -> Patch -> Pen -> Zoom -> Gradient -> Zoom -> Marquee -> Line -> Zoom,Graphic Designing,Intermediate,Young,15/04/2023,Male,9.0,239.0,25.0,Ghana,https://www.youtube.com/watch?v=jWEaZg4xXgo&list=PLIke35aX3K3mWRpD98Xs5qvOGbDGXCJmW&index=4,,,Rectangle,Pen,Blur,602,245,80
